Atlanta, Ga.	33	45	84	23
Austin, Tex.	30	16	97	44
Baltimore, Md.	39	18	76	38
Boston, Mass.	42	21	71	5
Charlotte, N.C.	35	14	80	50
Dallas, Tex.	32	46	96	46
Denver, Colo.	39	45	105	0
Des Moines, Iowa	41	35	93	37
Grand Rapids, Mich.	42	58	85	40
Houston, Tex.	29	45	95	21
Memphis, Tenn.	35	9	90	3
New York, N.Y.	40	47	73	58
Portland, Ore.	45	31	122	41
Raleigh, N.C.	35	46	78	39
San Francisco, Calif.	37	47	122	26
San Jose, Calif.	37	20	121	53
Seattle, Wash.	47	37	122	20
Tampa, Fla.	27	57	82	27
Washington, D.C.	38	53	77	02